date,dzdt
2017-05-31 05:00:00+00:00,0.20
2017-05-31 06:00:00+00:00,0.20
2017-05-31 07:00:00+00:00,0.20
2017-09-28 11:00:00+00:00,-0.21
2017-09-30 20:00:00+00:00,0.19
2017-10-02 21:00:00+00:00,0.37
2017-10-03 11:00:00+00:00,-0.25
2017-10-03 12:00:00+00:00,-0.31
2017-10-03 19:00:00+00:00,0.32
2017-10-04 11:00:00+00:00,-0.32
2017-10-09 13:00:00+00:00,-0.19
2017-10-09 20:00:00+00:00,-0.17
2017-10-11 17:00:00+00:00,0.16
2017-10-12 12:00:00+00:00,-0.23
2017-10-12 19:00:00+00:00,0.18
2017-10-13 13:00:00+00:00,-0.29
2017-10-13 17:00:00+00:00,0.16
2017-10-14 14:00:00+00:00,-0.19
2017-10-14 17:00:00+00:00,0.25
2017-10-16 12:00:00+00:00,-0.16
2017-10-16 18:00:00+00:00,0.21
2017-10-17 13:00:00+00:00,-0.17
2019-08-30 04:00:00+00:00,0.33
